,scan,max_consecutive_b,max_consecutive_y,perc_in_ladder,QValue
0,11156,5,11,1.0,0.0
1,13662,9,13,1.0,0.0
2,15357,7,15,1.0,0.0
3,11136,6,15,1.0,0.0
4,7671,11,11,1.0,0.0
5,5135,3,17,0.9444444444444444,0.0
6,9067,2,7,0.8333333333333334,0.0
7,9275,3,15,1.0,0.0
8,7955,6,13,0.8666666666666667,0.0
9,5934,7,7,1.0,0.0
10,5461,5,16,1.0,0.0
11,8119,5,12,1.0,0.0
12,6713,7,9,1.0,0.0
13,14268,5,13,1.0,0.0
14,10484,3,12,1.0,0.0
15,10677,6,14,1.0,0.0
16,6637,6,12,1.0,0.0
17,15399,6,14,1.0,0.0
18,14625,10,10,1.0,0.0
19,5105,6,13,1.0,0.0
20,11746,6,8,1.0,0.0
21,15349,7,11,1.0,0.0
22,7982,8,5,0.9090909090909091,0.0
23,13756,9,8,1.0,0.0
24,11238,4,6,1.0,0.0
25,7521,5,11,1.0,0.0
26,9919,9,6,0.9,0.0
27,7572,9,10,1.0,0.0
28,5415,2,8,1.0,0.0
29,7215,7,12,1.0,0.0
30,12452,5,10,0.9090909090909091,0.0
31,15418,5,12,0.9230769230769231,0.0
32,5621,4,8,1.0,0.0
33,13605,5,13,1.0,0.0
34,9931,5,11,1.0,0.0
35,13413,6,12,1.0,0.0
36,11323,4,14,1.0,0.0
37,14443,3,15,1.0,0.0
38,11915,2,15,1.0,0.0
39,7807,5,13,1.0,0.0
40,15417,7,6,0.9090909090909091,0.0
41,13493,9,9,1.0,0.0
42,9329,3,12,0.9230769230769231,0.0
43,16231,3,14,1.0,0.0
44,12357,6,6,1.0,0.0
45,8925,4,10,0.9090909090909091,0.0
46,13228,4,13,1.0,0.0
47,7100,4,7,0.9166666666666666,0.0
48,14263,4,8,0.9090909090909091,0.0
49,10763,2,15,0.9375,0.0
50,6120,6,5,0.8888888888888888,0.0
51,13938,2,14,1.0,0.0
52,11228,5,7,0.8181818181818182,0.0
53,9462,6,11,1.0,0.0
54,14769,4,14,1.0,0.0
55,11216,3,7,0.9285714285714286,0.0
56,10902,3,15,1.0,0.0
57,11823,2,14,1.0,0.0
58,13277,4,12,0.9230769230769231,0.0
59,13521,4,12,0.9230769230769231,0.0
60,9061,6,7,0.9090909090909091,0.0
61,5118,3,13,1.0,0.0
62,10950,4,13,1.0,0.0
63,8437,5,12,1.0,0.0
64,5588,3,10,0.9285714285714286,0.0
65,17270,5,9,0.9166666666666666,0.0
66,14820,4,6,1.0,0.0
67,9751,4,11,1.0,0.0
68,13900,3,10,1.0,0.0
69,14762,4,13,1.0,0.0
70,12136,4,13,1.0,0.0
71,12191,4,11,1.0,0.0
72,9580,3,10,1.0,0.0
73,7248,5,12,1.0,0.0
74,5228,8,8,1.0,0.0
75,14798,4,12,1.0,0.0
76,9773,7,6,1.0,0.0
77,13834,6,10,1.0,0.0
78,9422,3,12,1.0,0.0
79,14945,4,12,0.9230769230769231,0.0
80,10443,5,12,1.0,0.0
81,16818,4,13,1.0,0.0
82,13780,6,5,1.0,0.0
83,14558,4,9,1.0,0.0
84,11825,9,6,1.0,0.0
85,11282,8,9,1.0,0.0
86,13554,3,13,0.9285714285714286,0.0
87,13192,2,12,0.9230769230769231,0.0
88,8215,7,10,1.0,0.0
89,15925,5,10,1.0,0.0
90,16166,3,7,0.9,0.0
91,7437,3,14,1.0,0.0
92,13211,2,13,1.0,0.0
93,5289,6,6,0.75,0.0
94,11350,3,14,1.0,0.0
95,9326,3,11,1.0,0.0
96,15779,2,10,0.8333333333333334,0.0
97,8580,5,8,1.0,0.0
98,10162,5,12,1.0,0.0
99,10879,4,12,0.9230769230769231,0.0
100,8293,5,9,1.0,0.0
101,10897,4,13,1.0,0.0
102,13254,4,10,1.0,0.0
103,8383,6,10,1.0,0.0
104,16003,4,11,1.0,0.0
105,11297,8,8,0.8888888888888888,0.0
106,8834,8,6,1.0,0.0
107,12695,6,10,1.0,0.0
108,5947,5,7,1.0,0.0
109,12619,4,10,1.0,0.0
110,6113,6,9,1.0,0.0
111,10681,2,8,1.0,0.0
112,11508,4,8,0.9090909090909091,0.0
113,9487,5,7,1.0,0.0
114,13636,3,13,1.0,0.0
115,11620,3,7,1.0,0.0
116,16207,4,10,1.0,0.0
117,12843,5,10,0.9090909090909091,0.0
118,12130,4,12,1.0,0.0
119,12267,5,8,1.0,0.0
120,5089,2,12,1.0,0.0
121,10700,3,5,1.0,0.0
122,11865,3,11,0.9166666666666666,0.0
123,9458,3,11,1.0,0.0
124,16064,3,11,1.0,0.0
125,14249,4,10,1.0,0.0
126,14099,2,12,1.0,0.0
127,13241,4,11,0.9166666666666666,0.0
128,13262,5,11,1.0,0.0
129,10541,2,11,0.9166666666666666,0.0
130,7322,2,13,1.0,0.0
131,13669,4,12,1.0,0.0
132,15671,3,12,1.0,0.0
133,10674,3,12,1.0,0.0
134,6960,2,14,1.0,0.0
135,5223,7,8,1.0,0.0
136,11231,8,8,1.0,0.0
137,15528,6,8,0.8888888888888888,0.0
138,12321,6,5,0.8888888888888888,0.0
139,6683,5,8,1.0,0.0
140,10548,4,9,1.0,0.0
141,12842,4,9,1.0,0.0
142,7964,4,10,1.0,0.0
143,15818,8,8,1.0,0.0
144,10918,3,9,1.0,0.0
145,17987,2,7,1.0,0.0
146,8025,4,12,1.0,0.0
147,16540,3,13,1.0,0.0
148,11225,6,5,1.0,0.0
149,6362,5,6,1.0,0.0
150,12608,6,10,1.0,0.0
151,12897,2,10,1.0,0.0
152,11447,3,9,1.0,0.0
153,14301,5,11,1.0,0.0
154,5462,8,8,1.0,0.0
155,8578,5,7,1.0,0.0
156,8515,2,11,0.9285714285714286,0.0
157,9117,4,12,1.0,0.0
158,9911,8,8,1.0,0.0
159,18261,5,9,1.0,0.0
160,11342,2,7,1.0,0.0
161,15451,3,5,0.9090909090909091,0.0
162,14009,7,9,1.0,0.0
163,12150,2,12,1.0,0.0
164,10891,4,12,1.0,0.0
165,9198,3,13,1.0,0.0
166,15125,3,12,0.9230769230769231,0.0
167,8073,5,10,1.0,0.0
168,14956,3,7,0.9090909090909091,0.0
169,19288,2,12,1.0,0.0
170,12024,6,8,0.8888888888888888,0.0
171,9227,8,6,1.0,0.0
172,8312,2,9,0.8181818181818182,0.0
173,13427,2,12,1.0,0.0
174,13174,5,11,1.0,0.0
175,15631,3,10,0.9230769230769231,0.0
176,10715,4,7,1.0,0.0
177,13215,5,11,1.0,0.0
