,scan,max_consecutive_b,max_consecutive_y,perc_in_ladder,QValue
0,17396,8,20,1.0,0.0
1,20326,9,15,0.9375,0.0
2,13583,6,14,0.9047619047619048,0.0
3,34628,6,20,1.0,0.0
4,14103,5,14,0.8421052631578947,0.0
5,18586,13,14,1.0,0.0
6,14270,7,15,1.0,0.0
7,26566,7,12,1.0,0.0
8,21027,7,17,1.0,0.0
9,13358,4,22,1.0,0.0
10,16605,7,7,1.0,0.0
11,28119,9,15,1.0,0.0
12,28063,7,11,1.0,0.0
13,19214,6,13,1.0,0.0
14,17372,10,15,1.0,0.0
15,26345,6,14,1.0,0.0
16,17950,4,11,0.9523809523809523,0.0
17,13990,7,13,1.0,0.0
18,23072,6,13,0.8666666666666667,0.0
19,11453,8,15,1.0,0.0
20,29945,8,16,1.0,0.0
21,23499,6,7,1.0,0.0
22,10520,5,10,1.0,0.0
23,14196,7,15,1.0,0.0
24,11458,8,15,0.9375,0.0
25,8769,7,12,1.0,0.0
26,28076,3,18,1.0,0.0
27,27512,7,14,1.0,0.0
28,20380,12,12,1.0,0.0
29,23408,7,15,1.0,0.0
30,21472,9,9,0.9230769230769231,0.0
31,10069,12,12,1.0,0.0
32,23056,6,12,0.8571428571428571,0.0
33,27016,10,13,1.0,0.0
34,14475,8,11,1.0,0.0
35,25663,10,9,1.0,0.0
36,23154,6,13,1.0,0.0
37,26742,10,13,1.0,0.0
38,9414,12,12,1.0,0.0
39,15811,4,15,1.0,0.0
40,14389,8,14,0.9333333333333333,0.0
41,20906,5,17,1.0,0.0
42,17952,2,7,1.0,0.0
43,24263,4,20,1.0,0.0
44,26967,6,14,1.0,0.0
45,17556,6,9,0.9230769230769231,0.0
46,20928,3,20,1.0,0.0
47,13400,4,19,0.95,0.0
48,21790,6,8,0.8571428571428571,0.0
49,30779,8,15,1.0,0.0
50,16634,6,6,1.0,0.0
51,34684,10,13,1.0,0.0
52,33727,8,11,1.0,0.0
53,18213,7,13,1.0,0.0
54,27000,10,13,1.0,0.0
55,26301,7,13,0.9285714285714286,0.0
56,24600,11,12,1.0,0.0
57,18770,8,14,1.0,0.0
58,23528,5,16,1.0,0.0
59,24390,8,12,1.0,0.0
60,10945,11,8,1.0,0.0
61,34617,6,14,1.0,0.0
62,25234,3,16,0.9411764705882353,0.0
63,11716,8,10,1.0,0.0
64,25795,8,15,1.0,0.0
65,22744,5,14,0.9444444444444444,0.0
66,12732,11,11,0.9166666666666666,0.0
67,21461,7,12,1.0,0.0
68,18767,7,10,0.8333333333333334,0.0
69,7717,5,17,0.9444444444444444,0.0
70,20973,7,16,1.0,0.0
71,20776,5,12,1.0,0.0
72,25632,8,15,1.0,0.0
73,22963,8,14,1.0,0.0
74,19863,8,14,1.0,0.0
75,25842,12,4,0.8181818181818182,0.0
76,21449,8,15,1.0,0.0
77,23575,10,10,0.9090909090909091,0.0
78,22554,4,15,0.9444444444444444,0.0
79,26616,3,8,1.0,0.0
80,20301,6,13,0.9375,0.0
81,23228,5,14,1.0,0.0
82,23413,8,14,1.0,0.0
83,13919,2,17,0.8947368421052632,0.0
84,25619,6,14,1.0,0.0
85,23096,10,11,1.0,0.0
86,23737,5,10,0.9333333333333333,0.0
87,21006,4,15,1.0,0.0
88,21968,4,12,1.0,0.0
89,15713,10,12,1.0,0.0
90,27051,7,12,1.0,0.0
91,18407,7,15,1.0,0.0
92,8132,6,16,1.0,0.0
93,30812,11,11,1.0,0.0
94,11108,6,10,1.0,0.0
95,23319,8,14,1.0,0.0
96,21204,11,7,1.0,0.0
97,22792,4,13,1.0,0.0
98,22737,3,12,0.9333333333333333,0.0
99,10450,11,11,1.0,0.0
100,20205,6,16,1.0,0.0
101,25157,10,12,1.0,0.0
102,11107,10,12,1.0,0.0
103,11164,10,12,1.0,0.0
104,22143,6,10,0.9090909090909091,0.0
105,28266,6,15,1.0,0.0
106,28029,7,14,1.0,0.0
107,27831,4,12,0.9230769230769231,0.0
108,22052,4,12,1.0,0.0
109,14807,10,5,1.0,0.0
110,16517,9,11,0.8461538461538461,0.0
111,21229,6,6,1.0,0.0
112,26099,3,11,1.0,0.0
113,16495,7,12,1.0,0.0
114,10661,11,11,1.0,0.0
115,31285,9,6,0.8333333333333334,0.0
116,20659,9,8,1.0,0.0
117,19426,7,11,0.9166666666666666,0.0
118,18605,8,6,1.0,0.0
119,16087,5,10,0.8333333333333334,0.0
120,17971,2,17,1.0,0.0
121,21437,6,15,1.0,0.0
122,14251,6,7,0.7857142857142857,0.0
123,16544,11,10,0.9090909090909091,0.0
124,14698,4,8,0.9166666666666666,0.0
125,17643,7,9,1.0,0.0
126,22539,6,12,1.0,0.0
127,22195,6,14,0.9333333333333333,0.0
128,29931,9,12,1.0,0.0
129,18872,7,11,1.0,0.0
130,20691,4,14,0.9333333333333333,0.0
131,24094,6,13,1.0,0.0
132,24295,4,15,0.9375,0.0
133,24406,6,10,1.0,0.0
134,23705,3,16,1.0,0.0
135,19649,6,15,1.0,0.0
136,7963,4,7,1.0,0.0
137,27745,6,15,1.0,0.0
138,27539,3,14,1.0,0.0
139,20923,5,16,1.0,0.0
140,27866,6,12,1.0,0.0
141,22490,11,10,1.0,0.0
142,27847,7,7,1.0,0.0
143,19669,3,13,1.0,0.0
144,23809,7,14,1.0,0.0
145,24268,10,11,1.0,0.0
146,20310,8,12,0.9230769230769231,0.0
147,28216,5,16,1.0,0.0
148,14047,9,12,1.0,0.0
149,24359,4,8,1.0,0.0
150,17953,4,10,1.0,0.0
151,34994,6,15,1.0,0.0
152,14001,11,5,1.0,0.0
153,22076,8,11,0.9166666666666666,0.0
154,34203,5,15,1.0,0.0
155,13981,5,15,0.9375,0.0
156,27392,6,14,0.9333333333333333,0.0
157,19800,6,13,1.0,0.0
158,34629,6,13,1.0,0.0
159,26139,6,10,1.0,0.0
160,27513,7,14,1.0,0.0
161,24391,4,16,1.0,0.0
162,20048,6,13,1.0,0.0
163,27351,4,16,1.0,0.0
164,19989,4,13,1.0,0.0
165,24849,6,12,1.0,0.0
166,16249,10,11,1.0,0.0
167,23418,5,12,0.9230769230769231,0.0
168,20761,5,6,1.0,0.0
169,13174,9,12,1.0,0.0
170,20046,6,13,1.0,0.0
171,24198,6,14,1.0,0.0
172,11879,10,11,1.0,0.0
173,26611,8,11,1.0,0.0
174,12445,6,10,1.0,0.0
175,24024,4,12,1.0,0.0
176,21326,9,12,1.0,0.0
177,29308,6,9,0.9166666666666666,0.0
178,24519,8,11,0.9166666666666666,0.0
179,20478,3,13,0.9285714285714286,0.0
180,11711,7,10,1.0,0.0
181,16366,9,6,0.8888888888888888,0.0
182,22908,5,6,1.0,0.0
183,15225,7,12,1.0,0.0
184,14079,9,12,1.0,0.0
185,9838,5,12,1.0,0.0
186,13894,10,11,1.0,0.0
187,8452,4,13,1.0,0.0
188,15745,8,7,0.8333333333333334,0.0
189,17009,6,13,1.0,0.0
190,22608,3,17,0.9444444444444444,0.0
191,16650,2,19,1.0,0.0
192,22036,4,15,1.0,0.0
193,25633,9,12,1.0,0.0
194,23220,8,7,0.9,0.0
195,21809,7,13,0.9285714285714286,0.0
196,22618,3,17,1.0,0.0
197,33777,8,11,1.0,0.0
198,21811,3,14,1.0,0.0
199,21611,5,13,1.0,0.0
200,23481,6,13,1.0,0.0
201,10275,6,7,0.9333333333333333,0.0
202,10737,7,13,1.0,0.0
203,21111,4,15,0.8823529411764706,0.0
204,24564,10,9,0.9,0.0
205,18909,4,14,1.0,0.0
206,8545,6,10,1.0,0.0
207,26906,4,14,0.9411764705882353,0.0
208,21031,10,11,1.0,0.0
209,27447,7,14,1.0,0.0
210,20873,7,9,0.9285714285714286,0.0
211,13532,9,12,1.0,0.0
212,21823,7,13,0.9285714285714286,0.0
213,17601,7,13,1.0,0.0
214,27249,7,11,1.0,0.0
215,25063,4,12,1.0,0.0
216,25996,8,11,1.0,0.0
217,22544,4,16,1.0,0.0
218,13619,7,12,0.9230769230769231,0.0
219,25839,5,14,1.0,0.0
220,20781,5,15,1.0,0.0
221,28353,8,10,0.9090909090909091,0.0
222,24321,7,11,1.0,0.0
223,22256,4,9,1.0,0.0
224,21071,6,13,1.0,0.0
225,16228,5,14,1.0,0.0
226,22345,6,12,1.0,0.0
227,27303,9,11,1.0,0.0
228,23550,4,15,1.0,0.0
229,12556,10,10,1.0,0.0
230,21038,8,10,1.0,0.0
231,20607,4,12,1.0,0.0
232,15987,4,14,1.0,0.0
233,19299,4,15,0.9375,0.0
234,23709,5,14,1.0,0.0
235,24635,7,11,1.0,0.0
236,10464,6,14,1.0,0.0
237,22799,5,15,1.0,0.0
238,13420,7,13,1.0,0.0
239,24575,5,14,1.0,0.0
240,26235,6,13,1.0,0.0
241,18463,6,13,1.0,0.0
242,12812,3,12,0.9333333333333333,0.0
243,24502,4,14,1.0,0.0
244,20064,5,11,1.0,0.0
245,29329,6,13,1.0,0.0
246,18509,8,11,1.0,0.0
247,24193,7,12,0.9230769230769231,0.0
248,22341,7,13,1.0,0.0
249,25290,5,15,1.0,0.0
250,20473,2,16,1.0,0.0
251,24174,7,12,0.9230769230769231,0.0
252,13992,5,11,1.0,0.0
253,24805,5,7,0.9090909090909091,0.0
254,24971,4,8,0.9375,0.0
255,23840,4,7,0.9,0.0
256,19751,6,14,1.0,0.0
257,22978,3,14,1.0,0.0
258,22772,8,12,1.0,0.0
259,20793,7,12,1.0,0.0
260,14599,9,11,1.0,0.0
261,18190,9,11,1.0,0.0
262,11688,4,11,1.0,0.0
263,25644,3,15,0.9375,0.0
264,29651,2,13,0.9444444444444444,0.0
