,scan,max_consecutive_b,max_consecutive_y,perc_in_ladder,QValue
0,16473,7,20,1.0,0.0
1,13565,11,15,0.9375,0.0
2,13105,4,22,1.0,0.0
3,16453,10,15,1.0,0.0
4,8432,12,12,1.0,0.0
5,10637,7,15,0.9375,0.0
6,18826,5,12,0.9230769230769231,0.0
7,6543,8,14,1.0,0.0
8,8652,5,15,1.0,0.0
9,20279,4,16,1.0,0.0
10,23937,7,15,1.0,0.0
11,6117,4,13,1.0,0.0
12,9087,5,14,0.9333333333333333,0.0
13,7129,7,7,0.9285714285714286,0.0
14,19692,8,14,1.0,0.0
15,17892,5,15,1.0,0.0
16,31234,8,14,1.0,0.0
17,25059,3,12,0.9375,0.0
18,10099,11,11,1.0,0.0
19,20097,7,11,1.0,0.0
20,22024,3,6,1.0,0.0
21,11079,10,12,1.0,0.0
22,6206,3,8,1.0,0.0
23,9896,11,11,1.0,0.0
24,6485,6,15,1.0,0.0
25,5638,7,13,1.0,0.0
26,13393,5,13,1.0,0.0
27,5875,10,9,1.0,0.0
28,8885,4,14,0.9333333333333333,0.0
29,16808,6,6,1.0,0.0
30,6251,4,16,1.0,0.0
31,18594,7,13,1.0,0.0
32,15905,6,14,1.0,0.0
33,15622,10,6,1.0,0.0
34,10925,9,12,1.0,0.0
35,5729,3,17,0.9444444444444444,0.0
36,6974,4,13,1.0,0.0
37,20430,7,13,0.9285714285714286,0.0
38,8394,7,9,0.9285714285714286,0.0
39,16543,11,10,1.0,0.0
40,6796,10,11,1.0,0.0
41,12551,6,11,1.0,0.0
42,14112,9,3,0.45454545454545453,0.0
43,10674,3,10,1.0,0.0
44,9335,5,12,1.0,0.0
45,22144,5,13,1.0,0.0
46,7405,6,11,1.0,0.0
47,8224,3,16,1.0,0.0
48,17625,5,14,1.0,0.0
49,31274,10,9,0.9,0.0
50,20923,7,13,1.0,0.0
51,9238,4,9,1.0,0.0
52,15573,6,14,1.0,0.0
53,10786,6,10,1.0,0.0
54,10225,2,7,0.6923076923076923,0.0
55,18547,8,11,1.0,0.0
56,12723,10,10,1.0,0.0
57,23266,5,14,0.9333333333333333,0.0
58,5728,7,7,1.0,0.0
59,12628,3,12,1.0,0.0
60,14264,9,11,1.0,0.0
61,19846,2,16,1.0,0.0
62,12343,8,10,0.9090909090909091,0.0
63,9418,3,14,1.0,0.0
64,24982,5,12,1.0,0.0
65,23013,6,14,1.0,0.0
66,15692,4,11,1.0,0.0
67,14716,2,10,0.8888888888888888,0.0
68,21122,10,9,1.0,0.0
69,5669,6,14,1.0,0.0
70,11865,4,12,1.0,0.0
71,11848,6,14,1.0,0.0
72,20682,3,15,1.0,0.0
73,8426,6,7,0.9166666666666666,0.0
74,22552,3,11,0.8125,0.0
