,scan,max_consecutive_b,max_consecutive_y,perc_in_ladder,QValue
0,8586,3,9,0.9473684210526315,0.0
1,11037,5,15,1.0,0.0
2,12785,5,13,1.0,0.0
3,7683,6,13,0.9285714285714286,0.0
4,12264,5,15,1.0,0.0
5,12514,7,13,1.0,0.0
6,6754,7,7,1.0,0.0
7,11474,6,10,1.0,0.0
8,14537,5,11,1.0,0.0
9,14229,7,7,0.9,0.0
10,9721,3,12,1.0,0.0
11,11896,10,8,0.8888888888888888,0.0
12,14373,4,14,1.0,0.0
13,7340,9,11,1.0,0.0
14,15193,5,11,1.0,0.0
15,12520,7,6,0.9090909090909091,0.0
16,7148,6,9,1.0,0.0
17,15421,7,6,0.9090909090909091,0.0
18,16214,7,6,1.0,0.0
19,13069,7,11,1.0,0.0
20,6548,4,14,0.9333333333333333,0.0
21,12475,4,12,1.0,0.0
22,9675,4,14,1.0,0.0
23,7218,9,10,1.0,0.0
24,11861,10,8,1.0,0.0
25,15843,7,9,1.0,0.0
26,12447,2,11,1.0,0.0
27,14285,5,6,1.0,0.0
28,11878,6,12,1.0,0.0
29,9134,3,12,0.9230769230769231,0.0
30,14245,4,14,1.0,0.0
31,9272,5,11,1.0,0.0
32,11803,6,12,1.0,0.0
33,8927,6,11,1.0,0.0
34,14159,5,13,1.0,0.0
35,9869,9,9,1.0,0.0
36,11812,5,10,1.0,0.0
37,10637,6,11,1.0,0.0
38,7163,5,8,1.0,0.0
39,11621,4,11,1.0,0.0
40,14205,4,12,1.0,0.0
41,9801,4,11,0.8461538461538461,0.0
42,12850,4,8,0.9090909090909091,0.0
43,14352,6,9,1.0,0.0
44,9374,4,4,0.9,0.0
45,12759,2,8,0.9090909090909091,0.0
46,13089,4,6,1.0,0.0
47,11462,4,10,1.0,0.0
48,15070,4,11,1.0,0.0
49,7805,4,6,0.9166666666666666,0.0
50,13203,5,10,1.0,0.0
51,12061,2,10,1.0,0.0
52,10088,4,12,0.9230769230769231,0.0
53,10991,4,13,1.0,0.0
54,10170,2,15,1.0,0.0
55,11011,3,13,1.0,0.0
56,11346,6,9,0.9,0.0
57,8546,2,12,0.9230769230769231,0.0
58,10728,2,13,1.0,0.0
59,12440,6,10,0.9090909090909091,0.0
60,11857,5,11,0.9166666666666666,0.0
61,10643,2,14,1.0,0.0
62,12685,2,15,1.0,0.0
63,7995,5,8,1.0,0.0
64,7438,2,13,0.9285714285714286,0.0
65,12725,7,9,1.0,0.0
66,9128,3,11,1.0,0.0
67,12213,2,12,1.0,0.0
68,14345,3,11,0.9285714285714286,0.0
69,11815,2,11,1.0,0.0
70,9594,4,9,1.0,0.0
71,10221,6,7,1.0,0.0
72,8607,3,6,1.0,0.0
73,16469,8,9,1.0,0.0
74,8807,6,8,1.0,0.0
75,8684,6,10,1.0,0.0
76,11198,6,10,1.0,0.0
77,13266,4,8,1.0,0.0
78,7996,6,9,1.0,0.0
79,10749,4,10,1.0,0.0
80,11977,5,6,0.8,0.0
81,7096,9,5,0.875,0.0
82,9458,3,12,1.0,0.0
83,13735,3,13,1.0,0.0
84,12013,4,9,0.9,0.0
85,10241,2,13,1.0,0.0
86,10027,2,14,0.9333333333333333,0.0
87,12348,3,13,1.0,0.0
88,14487,4,9,0.9166666666666666,0.0
89,13107,5,11,1.0,0.0
90,10532,4,12,1.0,0.0
91,15439,4,12,1.0,0.0
92,9155,1,9,0.7857142857142857,0.0
93,9955,2,14,1.0,0.0
94,9172,1,13,1.0,0.0
95,10448,4,12,1.0,0.0
96,9910,4,11,1.0,0.0
97,11724,5,10,0.9090909090909091,0.0
98,11423,4,6,1.0,0.0
99,11879,3,5,0.9,0.0
100,9147,4,11,0.9166666666666666,0.0
101,14367,4,12,1.0,0.0
102,14982,3,10,1.0,0.0
103,12166,6,6,1.0,0.0
104,13152,4,10,1.0,0.0
105,11215,3,10,1.0,0.0
106,13324,2,11,1.0,0.0
107,11995,3,13,1.0,0.0
108,15818,3,8,1.0,0.0
109,12550,3,9,1.0,0.0
110,13861,1,7,0.8333333333333334,0.0
111,12337,2,13,1.0,0.0
112,13802,5,7,0.9090909090909091,0.0
113,8691,9,4,0.6666666666666666,0.0
114,14639,3,11,1.0,0.0
115,7377,2,10,1.0,0.0
116,10691,6,10,1.0,0.0
117,12494,2,12,1.0,0.0
118,13765,4,12,1.0,0.0
119,15409,3,11,1.0,0.0
120,13683,5,11,1.0,0.0
121,13658,2,8,0.7857142857142857,0.0
122,12478,4,12,1.0,0.0
123,10634,6,10,1.0,0.0
124,14190,2,12,1.0,0.0
125,12487,2,9,1.0,0.0
126,7965,4,11,1.0,0.0
127,7031,4,8,1.0,0.0
128,17598,8,7,0.875,0.0
129,10700,6,10,1.0,0.0
130,12266,6,10,1.0,0.0
131,10954,4,9,1.0,0.0
132,11856,5,11,1.0,0.0
133,9898,2,10,1.0,0.0
134,8897,3,10,1.0,0.0
135,10671,5,11,1.0,0.0
136,14385,4,11,1.0,0.0
137,10621,4,9,0.9,0.0
138,10289,6,9,0.9,0.0
139,10607,2,7,1.0,0.0
140,12857,2,13,0.9285714285714286,0.0
141,10664,5,11,1.0,0.0
142,14050,5,5,0.9,0.0
143,8445,7,7,0.875,0.0
144,10685,6,10,1.0,0.0
145,13191,3,10,0.8333333333333334,0.0
146,11008,2,6,0.9090909090909091,0.0
147,11807,3,7,0.9166666666666666,0.0
148,9618,5,9,0.9,0.0
149,10649,3,12,1.0,0.0
150,10282,7,8,1.0,0.0
151,13526,2,10,1.0,0.0
152,11110,3,9,1.0,0.0
153,10697,4,6,1.0,0.0
154,10718,2,9,1.0,0.0
155,10267,1,14,1.0,0.0
156,13717,4,7,0.9090909090909091,0.0
157,13177,5,8,1.0,0.0
158,15351,3,11,0.9166666666666666,0.0
159,12577,5,8,1.0,0.0
160,12466,4,10,0.9090909090909091,0.0
161,10650,4,9,1.0,0.0
162,15288,3,11,0.9166666666666666,0.0
163,12399,4,7,0.9,0.0
164,17621,3,11,0.9166666666666666,0.0
165,12989,3,12,1.0,0.0
166,8029,4,10,0.9090909090909091,0.0
167,10141,3,11,1.0,0.0
168,14132,7,8,1.0,0.0
169,13852,4,11,1.0,0.0
170,13325,4,6,1.0,0.0
171,11637,5,10,1.0,0.0
172,15239,5,7,1.0,0.0
173,9905,4,11,1.0,0.0
174,7274,1,13,1.0,0.0
175,9681,4,11,1.0,0.0
176,12369,4,8,1.0,0.0
177,13463,3,8,1.0,0.0
178,12334,4,10,0.9090909090909091,0.0
179,12418,4,10,0.9090909090909091,0.0
180,13904,4,11,1.0,0.0
181,12643,3,12,1.0,0.0
182,16500,3,12,1.0,0.0
183,8591,2,13,1.0,0.0
184,13215,2,12,1.0,0.0
185,12637,3,9,1.0,0.0
186,14078,2,12,0.9230769230769231,0.0
187,12238,4,7,0.9090909090909091,0.0
188,8272,4,9,0.9,0.0
189,14486,2,10,1.0,0.0
