,scan,max_consecutive_b,max_consecutive_y,perc_in_ladder,QValue
0,13393,9,14,1.0,0.0
1,10455,3,19,0.95,0.0
2,12609,8,15,1.0,0.0
3,12960,9,12,0.9230769230769231,0.0
4,11110,5,8,0.9090909090909091,0.0
5,13289,5,10,0.8333333333333334,0.0
6,8931,11,11,1.0,0.0
7,14765,7,13,1.0,0.0
8,10824,4,16,1.0,0.0
9,13114,2,15,1.0,0.0
10,12473,6,14,1.0,0.0
11,10834,9,6,1.0,0.0
12,12206,5,8,1.0,0.0
13,14265,10,9,1.0,0.0
14,10526,3,7,0.6875,0.0
15,15044,5,12,1.0,0.0
16,18252,7,9,1.0,0.0
17,9404,6,12,0.9230769230769231,0.0
18,7525,4,15,1.0,0.0
19,12050,3,14,1.0,0.0
20,14600,5,12,1.0,0.0
21,15682,4,15,1.0,0.0
22,15973,6,12,0.9230769230769231,0.0
23,14024,5,14,1.0,0.0
24,7879,7,7,1.0,0.0
25,7256,6,13,1.0,0.0
26,15691,2,11,0.8125,0.0
27,14603,2,14,1.0,0.0
28,10422,3,8,0.875,0.0
29,14877,3,15,0.9375,0.0
30,15960,5,14,1.0,0.0
31,15472,5,9,0.8181818181818182,0.0
32,11566,3,12,1.0,0.0
33,13038,3,9,1.0,0.0
34,12852,3,15,1.0,0.0
35,17330,5,11,0.9166666666666666,0.0
36,12504,3,15,1.0,0.0
37,16568,5,6,1.0,0.0
38,14417,6,12,1.0,0.0
39,16026,4,12,1.0,0.0
40,11788,4,14,1.0,0.0
41,16721,5,12,0.9230769230769231,0.0
42,17356,3,14,1.0,0.0
43,9076,5,10,1.0,0.0
44,10810,9,5,1.0,0.0
45,12365,9,9,1.0,0.0
46,12672,6,9,0.9,0.0
47,16878,2,12,0.8571428571428571,0.0
48,11355,8,9,0.9,0.0
49,8467,6,8,0.9166666666666666,0.0
50,15492,4,13,1.0,0.0
51,13461,8,10,1.0,0.0
52,11472,3,12,1.0,0.0
53,13445,8,10,1.0,0.0
54,11922,2,15,0.9375,0.0
55,15149,5,11,0.9166666666666666,0.0
56,11774,4,14,1.0,0.0
57,10632,4,12,1.0,0.0
58,11964,3,15,1.0,0.0
59,12183,2,7,1.0,0.0
60,14059,5,8,0.9090909090909091,0.0
61,14528,4,12,0.9230769230769231,0.0
62,15970,4,12,1.0,0.0
63,12777,4,8,0.9090909090909091,0.0
64,15433,6,11,1.0,0.0
65,11112,5,10,1.0,0.0
66,13197,4,13,1.0,0.0
67,10633,6,11,1.0,0.0
68,13940,6,11,1.0,0.0
69,11156,5,11,0.9166666666666666,0.0
70,9542,4,10,1.0,0.0
71,10954,2,12,1.0,0.0
72,14691,4,10,1.0,0.0
73,11412,4,13,1.0,0.0
74,16521,2,13,0.9285714285714286,0.0
75,14301,2,13,1.0,0.0
76,14526,2,14,1.0,0.0
77,12991,3,10,1.0,0.0
78,10625,4,13,1.0,0.0
79,13218,4,13,1.0,0.0
80,15714,7,10,1.0,0.0
81,14404,5,10,1.0,0.0
82,16618,4,11,1.0,0.0
83,17826,5,12,1.0,0.0
84,15934,4,11,1.0,0.0
85,16510,5,11,0.9166666666666666,0.0
86,12491,2,13,0.8666666666666667,0.0
87,15617,2,14,1.0,0.0
88,14268,6,11,1.0,0.0
89,12636,4,13,1.0,0.0
90,9953,4,9,1.0,0.0
91,8827,6,4,1.0,0.0
92,11441,3,13,1.0,0.0
93,9791,4,11,1.0,0.0
94,14321,5,12,1.0,0.0
95,14061,5,11,1.0,0.0
96,16228,4,12,0.9230769230769231,0.0
97,12099,8,7,1.0,0.0
98,16505,3,13,1.0,0.0
99,15436,4,13,1.0,0.0
100,9951,3,10,1.0,0.0
101,9402,7,10,1.0,0.0
102,8451,4,6,1.0,0.0
103,10187,8,9,1.0,0.0
104,14956,3,8,0.9090909090909091,0.0
105,11689,2,11,1.0,0.0
106,13150,4,8,0.9230769230769231,0.0
107,13496,6,10,1.0,0.0
108,12173,3,7,1.0,0.0
109,16677,5,5,0.9090909090909091,0.0
110,15914,3,13,1.0,0.0
111,13765,3,7,1.0,0.0
112,14708,3,13,1.0,0.0
113,13185,3,11,0.9166666666666666,0.0
114,16807,3,11,1.0,0.0
115,11918,4,12,1.0,0.0
116,13029,4,12,1.0,0.0
117,17204,2,12,0.9230769230769231,0.0
118,13166,5,11,1.0,0.0
119,14742,7,8,1.0,0.0
120,14092,6,7,0.9,0.0
121,15000,3,12,1.0,0.0
122,12863,7,9,1.0,0.0
123,8609,3,12,1.0,0.0
124,11829,4,9,1.0,0.0
125,14700,5,9,1.0,0.0
126,12158,6,9,0.9,0.0
127,11022,2,11,1.0,0.0
128,11446,3,13,1.0,0.0
129,15618,4,6,1.0,0.0
130,13144,3,12,0.9230769230769231,0.0
131,15420,4,10,1.0,0.0
132,14028,3,8,1.0,0.0
133,9243,1,12,1.0,0.0
134,10320,3,10,1.0,0.0
135,12077,4,10,1.0,0.0
136,13359,2,13,1.0,0.0
137,19412,4,10,0.9090909090909091,0.0
138,11889,4,9,1.0,0.0
139,14979,3,3,0.625,0.0
140,14706,2,12,0.9230769230769231,0.0
141,11748,3,7,0.9090909090909091,0.0
142,14023,2,9,0.9166666666666666,0.0
143,14751,4,10,0.8333333333333334,0.0
144,10979,8,6,1.0,0.0
145,14971,4,12,1.0,0.0
146,16428,3,10,0.9230769230769231,0.0
147,19119,4,11,0.9166666666666666,0.0
148,11554,6,7,1.0,0.0
149,14968,4,12,1.0,0.0
150,12531,4,12,1.0,0.0
151,10981,6,7,1.0,0.0
152,14710,2,11,1.0,0.0
153,12541,1,15,1.0,0.0
154,9413,5,8,0.8888888888888888,0.0
155,10755,4,8,1.0,0.0
156,15999,6,5,0.7777777777777778,0.0
157,13790,4,10,0.9090909090909091,0.0
158,12851,4,9,0.9,0.0
159,12196,8,8,1.0,0.0
160,12900,6,9,1.0,0.0
161,9345,5,10,1.0,0.0
162,16554,3,7,1.0,0.0
163,9754,4,10,1.0,0.0
164,7889,5,6,1.0,0.0
165,13035,2,14,1.0,0.0
