,scan,max_consecutive_b,max_consecutive_y,perc_in_ladder,QValue
0,12951,5,14,1.0,0.0
1,20582,7,15,1.0,0.0
2,16028,3,14,0.8235294117647058,0.0
3,13741,8,13,1.0,0.0
4,17217,3,13,1.0,0.0
5,18564,4,17,1.0,0.0
6,12968,7,14,1.0,0.0
7,15386,5,13,1.0,0.0
8,9257,10,11,1.0,0.0
9,9727,6,12,0.8571428571428571,0.0
10,9565,4,12,1.0,0.0
11,16894,4,11,0.9166666666666666,0.0
12,17045,4,7,1.0,0.0
13,15815,5,9,0.9166666666666666,0.0
14,19801,7,13,1.0,0.0
15,16887,7,7,1.0,0.0
16,13460,2,15,1.0,0.0
17,16053,7,11,1.0,0.0
18,16293,5,14,1.0,0.0
19,15104,6,13,1.0,0.0
20,15316,6,8,0.9090909090909091,0.0
21,15221,3,15,0.9375,0.0
22,17674,3,12,0.9230769230769231,0.0
23,17350,4,13,0.9285714285714286,0.0
24,16307,4,12,1.0,0.0
25,18565,7,9,1.0,0.0
26,17469,5,13,1.0,0.0
27,14940,4,12,1.0,0.0
28,14780,6,12,1.0,0.0
29,12391,3,14,1.0,0.0
30,15254,3,15,1.0,0.0
31,17655,5,11,1.0,0.0
32,15961,2,14,1.0,0.0
33,16961,3,12,1.0,0.0
34,20598,8,7,1.0,0.0
35,16356,5,13,1.0,0.0
36,16834,5,12,0.9230769230769231,0.0
37,17060,3,14,1.0,0.0
38,16564,4,14,1.0,0.0
39,15034,3,10,1.0,0.0
40,12546,4,6,0.9,0.0
41,12982,4,14,1.0,0.0
42,20413,2,7,0.875,0.0
43,14626,10,8,1.0,0.0
44,16868,3,13,0.9285714285714286,0.0
45,17426,4,10,0.9090909090909091,0.0
46,8771,4,7,0.9166666666666666,0.0
47,17387,5,9,0.9,0.0
48,9062,10,5,0.875,0.0
49,10952,6,11,1.0,0.0
50,18256,5,11,0.9166666666666666,0.0
51,17005,5,9,0.9166666666666666,0.0
52,16589,2,9,1.0,0.0
53,16025,2,14,1.0,0.0
54,17238,4,13,1.0,0.0
55,15402,4,11,0.9166666666666666,0.0
56,14874,3,12,0.8571428571428571,0.0
57,12814,4,12,0.9230769230769231,0.0
58,17779,4,11,1.0,0.0
59,13587,4,13,1.0,0.0
60,8778,6,5,0.9090909090909091,0.0
61,12257,4,12,1.0,0.0
62,21771,5,12,1.0,0.0
63,19367,2,15,1.0,0.0
64,20586,5,12,1.0,0.0
65,11487,5,11,0.9166666666666666,0.0
66,16362,3,12,1.0,0.0
67,16936,3,10,0.9230769230769231,0.0
68,8186,7,6,0.9,0.0
69,12713,4,9,1.0,0.0
70,18156,4,13,1.0,0.0
71,16800,6,10,1.0,0.0
72,11152,2,14,1.0,0.0
73,17528,3,14,1.0,0.0
74,9141,5,6,1.0,0.0
75,10130,4,11,1.0,0.0
76,19740,6,9,1.0,0.0
77,15051,3,13,0.9285714285714286,0.0
78,14947,2,12,0.9333333333333333,0.0
79,15843,4,12,1.0,0.0
80,12541,9,8,1.0,0.0
81,18549,3,14,1.0,0.0
82,16836,2,13,1.0,0.0
83,16302,1,14,0.9333333333333333,0.0
84,9715,7,10,1.0,0.0
85,12117,4,13,1.0,0.0
86,15261,1,13,0.9285714285714286,0.0
87,19436,4,13,1.0,0.0
88,20615,5,12,1.0,0.0
89,16659,3,12,1.0,0.0
90,9666,6,10,1.0,0.0
91,16581,6,8,1.0,0.0
92,16634,3,13,1.0,0.0
93,13192,3,7,1.0,0.0
94,15796,5,11,1.0,0.0
95,20682,2,12,1.0,0.0
96,16094,3,10,0.9230769230769231,0.0
97,18738,3,6,0.7272727272727273,0.0
98,10964,3,11,1.0,0.0
99,15228,5,11,1.0,0.0
100,16255,4,11,0.9166666666666666,0.0
101,13552,3,13,1.0,0.0
102,15769,4,10,1.0,0.0
103,15976,4,12,1.0,0.0
104,12631,3,13,1.0,0.0
105,16445,4,8,1.0,0.0
106,16586,2,13,1.0,0.0
107,15421,3,13,1.0,0.0
108,7557,5,11,1.0,0.0
109,15682,2,14,1.0,0.0
110,15045,4,12,1.0,0.0
111,10929,2,12,0.9230769230769231,0.0
112,16419,3,11,1.0,0.0
113,17420,3,13,1.0,0.0
114,20450,4,11,0.9166666666666666,0.0
115,16843,3,11,0.9166666666666666,0.0
116,11394,4,12,1.0,0.0
117,14756,5,10,1.0,0.0
118,18988,2,12,1.0,0.0
119,9542,3,9,0.9166666666666666,0.0
120,13293,6,10,1.0,0.0
121,9413,2,10,1.0,0.0
122,14432,5,11,1.0,0.0
123,12439,8,7,0.875,0.0
124,16620,4,12,1.0,0.0
125,18434,4,5,1.0,0.0
126,19657,4,12,1.0,0.0
127,15321,4,9,1.0,0.0
128,15433,4,11,1.0,0.0
129,15619,3,10,0.8333333333333334,0.0
130,15041,5,11,1.0,0.0
131,11977,4,12,1.0,0.0
132,16875,4,7,1.0,0.0
133,16090,3,8,0.9230769230769231,0.0
134,16762,2,13,0.9285714285714286,0.0
135,17190,4,11,1.0,0.0
136,15320,4,11,1.0,0.0
137,9742,7,8,0.8888888888888888,0.0
138,11147,6,5,0.875,0.0
139,16378,5,6,1.0,0.0
140,13794,3,10,1.0,0.0
141,17216,3,9,1.0,0.0
142,10743,3,10,0.7692307692307693,0.0
143,16910,3,8,1.0,0.0
144,16912,4,11,1.0,0.0
145,15502,5,10,1.0,0.0
146,16315,4,10,1.0,0.0
147,15388,4,11,1.0,0.0
148,15057,2,13,1.0,0.0
149,12854,1,11,1.0,0.0
150,13390,3,12,1.0,0.0
151,12380,4,11,1.0,0.0
152,18891,5,5,0.9,0.0
153,10541,4,8,1.0,0.0
154,17918,1,8,0.8333333333333334,0.0
155,9131,3,12,1.0,0.0
156,17278,4,11,1.0,0.0
157,15091,7,5,1.0,0.0
158,17792,3,11,0.9166666666666666,0.0
159,11734,3,12,1.0,0.0
160,17228,3,12,1.0,0.0
161,17668,3,7,0.9090909090909091,0.0
162,16227,3,9,0.8181818181818182,0.0
163,18902,5,5,0.7777777777777778,0.0
164,17147,7,5,1.0,0.0
165,17923,2,9,0.9230769230769231,0.0
166,12121,3,10,1.0,0.0
167,15249,5,5,1.0,0.0
168,12250,2,11,0.9166666666666666,0.0
169,16313,2,13,1.0,0.0
170,14790,4,7,1.0,0.0
171,8748,4,8,1.0,0.0
172,13497,1,12,0.9230769230769231,0.0
173,17145,3,11,0.9166666666666666,0.0
174,18897,1,13,0.9285714285714286,0.0
175,19109,4,6,1.0,0.0
176,18038,4,9,1.0,0.0
177,15260,7,7,0.875,0.0
178,13176,3,12,1.0,0.0
179,17804,3,8,0.8,0.0
180,11779,2,13,1.0,0.0
181,21040,4,6,1.0,0.0
182,10260,5,7,1.0,0.0
183,17225,3,12,1.0,0.0
184,15201,2,5,0.9090909090909091,0.0
185,15099,2,12,1.0,0.0
186,10939,2,13,1.0,0.0
187,12410,4,6,1.0,0.0
188,14877,2,12,1.0,0.0
189,11141,9,5,0.8333333333333334,0.0
190,9693,3,12,1.0,0.0
191,15196,2,13,1.0,0.0
192,16794,5,6,1.0,0.0
193,9511,4,8,0.8888888888888888,0.0
194,17464,4,11,1.0,0.0
195,16174,1,7,0.8333333333333334,0.0
196,19073,4,9,1.0,0.0
197,16695,4,11,1.0,0.0
198,15896,4,10,0.9090909090909091,0.0
199,16403,2,11,1.0,0.0
200,14547,1,7,1.0,0.0
201,20769,2,7,0.9090909090909091,0.0
202,13726,3,11,1.0,0.0
203,19355,9,3,0.5,0.0
204,15322,3,12,1.0,0.0
205,16775,8,3,0.7142857142857143,0.0
206,10132,7,7,1.0,0.0
207,16380,2,9,0.9230769230769231,0.0
208,18952,4,9,1.0,0.0
209,14946,4,11,1.0,0.0
210,18626,4,6,1.0,0.0
211,14162,2,10,1.0,0.0
212,13149,2,13,1.0,0.0
213,19309,3,9,1.0,0.0
214,10162,2,7,1.0,0.0
215,13097,6,8,0.8888888888888888,0.0
216,16553,3,11,0.9166666666666666,0.0
217,15629,4,6,1.0,0.0
218,13774,2,13,1.0,0.0
219,16389,3,7,1.0,0.0
220,10515,5,9,1.0,0.0
221,11892,1,9,0.9166666666666666,0.0
222,10592,3,12,1.0,0.0
223,9672,4,10,1.0,0.0
224,12873,2,12,1.0,0.0
225,16325,6,3,0.625,0.0
226,15280,3,5,0.8,0.0
227,15853,4,11,1.0,0.0
228,11077,4,8,0.8888888888888888,0.0
229,15037,4,7,1.0,0.0
230,15692,2,7,0.9,0.0
231,16210,2,13,1.0,0.0
232,17129,1,10,1.0,0.0
233,9440,3,11,1.0,0.0
234,12090,4,11,1.0,0.0
235,13378,3,9,0.9166666666666666,0.0
236,13855,3,7,1.0,0.0
237,16224,3,12,1.0,0.0
238,12492,5,7,0.875,0.0
239,15506,5,4,0.8888888888888888,0.0
240,8870,3,10,1.0,0.0
241,14116,4,7,1.0,0.0
242,18454,5,8,0.8888888888888888,0.0
243,13079,5,8,1.0,0.0
244,15824,3,10,0.9090909090909091,0.0
245,12129,5,8,0.8888888888888888,0.0
246,17136,3,7,1.0,0.0
247,12171,3,6,1.0,0.0
248,12495,3,9,0.9,0.0
249,17080,3,8,0.9090909090909091,0.0
250,11178,3,11,1.0,0.0
251,16066,2,6,1.0,0.0
252,10920,4,7,0.7777777777777778,0.0
253,16895,4,10,1.0,0.0
254,14451,5,8,0.8888888888888888,0.0
255,9849,6,5,0.875,0.0
256,11373,3,11,1.0,0.0
257,13164,4,8,1.0,0.0
258,16388,3,11,1.0,0.0
259,15189,2,10,0.9090909090909091,0.0
260,15355,3,9,1.0,0.0
261,8932,2,12,1.0,0.0
262,12710,3,11,1.0,0.0
263,12182,3,11,1.0,0.0
264,17748,3,10,0.9090909090909091,0.0
265,16464,6,4,1.0,0.0
266,14458,1,13,1.0,0.0
267,14138,4,5,1.0,0.0
268,12913,3,11,1.0,0.0
269,19490,3,7,0.9,0.0
270,17366,4,6,0.6,0.0
271,16819,3,11,1.0,0.0
272,14985,4,5,0.7777777777777778,0.0
273,16336,4,10,1.0,0.0
274,15882,3,8,1.0,0.0
275,15086,2,12,1.0,0.0
276,17130,2,12,1.0,0.0
277,14817,3,11,1.0,0.0
278,16190,4,10,1.0,0.0
279,16250,4,6,1.0,0.0
280,8453,2,12,1.0,0.0
281,16069,2,11,1.0,0.0
282,13905,4,10,1.0,0.0
283,16752,3,11,1.0,0.0
284,24191,4,8,0.8,0.0
285,16281,4,10,1.0,0.0
286,15686,4,10,1.0,0.0
287,13800,2,11,1.0,0.0
288,16214,3,11,1.0,0.0
289,17500,3,11,1.0,0.0
290,14217,4,10,1.0,0.0
291,13348,2,10,1.0,0.0
292,16018,2,12,1.0,0.0
293,11740,2,11,1.0,0.0
294,15118,5,8,1.0,0.0
295,15173,6,7,1.0,0.0
