,scan,max_consecutive_b,max_consecutive_y,perc_in_ladder,QValue
151,13764,2,14,1.0,0.0
152,11216,5,9,1.0,0.0
153,10550,6,8,0.8888888888888888,0.0
154,11149,3,11,1.0,0.0
155,8236,2,14,1.0,0.0
156,10946,3,8,1.0,0.0
157,11466,6,7,1.0,0.0
158,13200,5,7,1.0,0.0
159,13112,3,9,1.0,0.0
160,14658,4,11,1.0,0.0
161,10965,6,10,1.0,0.0
162,10884,4,9,0.9,0.0
163,10683,2,14,1.0,0.0
164,13726,5,8,1.0,0.0
165,10095,1,9,1.0,0.0
166,16543,6,9,1.0,0.0
167,11005,3,10,1.0,0.0
168,11868,2,10,1.0,0.0
169,10950,6,10,1.0,0.0
170,13450,3,9,0.9166666666666666,0.0
171,11739,2,13,1.0,0.0
172,10940,5,11,1.0,0.0
173,6972,5,5,0.7142857142857143,0.0
174,10955,3,12,1.0,0.0
175,8670,5,7,0.9,0.0
176,15452,3,11,1.0,0.0
177,17983,2,12,1.0,0.0
178,10789,3,12,1.0,0.0
179,10707,4,8,1.0,0.0
180,10985,2,9,1.0,0.0
181,14975,3,12,1.0,0.0
182,13253,3,12,1.0,0.0
183,13732,2,13,1.0,0.0
184,13603,5,10,1.0,0.0
185,9635,3,10,0.9090909090909091,0.0
186,14123,4,11,1.0,0.0
187,13517,3,6,1.0,0.0
188,11490,2,12,1.0,0.0
189,14640,3,12,1.0,0.0
190,17515,4,10,1.0,0.0
191,10162,4,11,1.0,0.0
192,9774,4,10,0.9090909090909091,0.0
193,10979,2,12,0.9230769230769231,0.0
194,14669,4,8,0.9090909090909091,0.0
195,14279,3,12,1.0,0.0
196,17035,4,11,1.0,0.0
197,9422,3,10,0.8333333333333334,0.0
198,9129,3,6,1.0,0.0
199,14404,7,8,1.0,0.0
200,7531,1,13,1.0,0.0
201,8795,1,10,0.8333333333333334,0.0
202,14912,3,11,0.9166666666666666,0.0
203,15418,1,6,0.9166666666666666,0.0
204,12591,2,12,1.0,0.0
205,16229,3,6,1.0,0.0
206,17828,6,8,1.0,0.0
